LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000884615-0001-8,RCF INVESTMENTS INC,CREPE BREAK,6600 TOPANGA CANYON BLVD,CANOGA PARK,91303-2609,6600 TOPANGA CANYON 91303,,,,722110,Full-service restaurants,3,,,POINT (-118.6058 34.1898)
0000884748-0001-1,FILOMENA D'AMORE,PATSY'S PIZZA,6333 W 3RD STREET #448,LOS ANGELES,90036-3195,6333 3RD 90036-3195,,,,722110,Full-service restaurants,5,07/18/1998,,POINT (-118.36 34.0713)
0000885508-0001-7,STEVEN J YABLOK,CAFE CLUB FAIS DO-DO,5257 W ADAMS BLVD,LOS ANGELES,90016-2626,5257 ADAMS 90016-2626,5253 W ADAMS BLVD,LOS ANGELES,90016-2626,722110,Full-service restaurants,10,11/27/1991,,POINT (-118.3572 34.0324)
0000886673-0001-5,MARIA GUADALUPE AMADOR,EL ATACOR #1,3520 N FIGUEROA STREET #3,LOS ANGELES,90065-2463,3520 FIGUEROA 90065-2463,8613 DAVISTA DRIVE #1,WHITTIER,90605-1507,722110,Full-service restaurants,1,03/07/1992,,POINT (-118.2147 34.0889)
0000887166-0001-1,JAVIER SANTIAGO GUTIERREZ/ENRIQUETA RUIZ SERNAS,EL SAZON OAXAQUENO,12131 WASHINGTON PLACE #A,LOS ANGELES,90066-5272,12131 WASHINGTON 90066-5272,,,,722110,Full-service restaurants,11,07/29/1998,,POINT (-118.427 34.001)
0000888329-0001-4,PICO CAFE INC,PICO CAFE,8944 W PICO BLVD,LOS ANGELES,90035-3334,8944 PICO 90035-3334,,,,722110,Full-service restaurants,5,07/20/1998,,POINT (-118.387 34.0552)
0000888445-0001-1,JACK IN THE BOX PROPERTIES,JACK IN THE BOX #321,9018 WOODMAN AVENUE,ARLETA,91331-6403,9018 WOODMAN 91331-6403,9357 SPECTRUM CENTER BLVD,SAN DIEGO,92123-1444,722110,Full-service restaurants,6,11/01/1970,,POINT (-118.4389 34.2333)
0000888448-0001-5,JACK IN THE BOX PROPERTIES,JACK IN THE BOX #327,13648 VAN NUYS BLVD,PACOIMA,91331-3612,13648 VAN NUYS 91331-3612,9357 SPECTRUM CENTER BLVD,SAN DIEGO,92123-1444,722110,Full-service restaurants,7,11/01/1970,,POINT (-118.4302 34.2601)
0000888450-0001-2,JACK IN THE BOX PROPERTIES,JACK IN THE BOX #332,13622 FOOTHILL BLVD,SYLMAR,91342-4404,13622 FOOTHILL 91342-4404,9357 SPECTRUM CENTER BLVD,SAN DIEGO,92123-1444,722110,Full-service restaurants,7,11/01/1970,,POINT (-118.4301 34.3072)
0000888452-0001-1,JACK IN THE BOX PROPERTIES,JACK IN THE BOX #339,4828 LAUREL CANYON BLVD,N HOLLYWOOD,91607-3717,4828 LAUREL CANYON 91607-3717,9357 SPECTRUM CENTER BLVD,SAN DIEGO,92123-1444,722110,Full-service restaurants,2,11/01/1970,,POINT (-118.3964 34.1584)
0000888472-0001-9,JACK IN THE BOX INC,,7264 TOPANGA CANYON BLVD,CANOGA PARK,91303-1239,7264 TOPANGA CANYON 91303-1239,9357 SPECTRUM CENTER BLVD,SAN DIEGO,92123-1444,722110,Full-service restaurants,3,11/01/1970,,POINT (-118.6059 34.2023)
0000888913-0001-2,"SOCORROS RESTAURANT, INC",SOCORRO'S RESTAURANT #1,14657 VICTORY BLVD,VAN NUYS,91411-1622,14657 VICTORY 91411-1622,,,,722110,Full-service restaurants,6,01/01/1992,,POINT (-118.4522 34.1866)
0000888913-0002-1,"SOCORROS RESTAURANT, INC",,10307 ZELZAH AVENUE,NORTHRIDGE,91326-3507,10307 ZELZAH 91326-3507,,,,722110,Full-service restaurants,12,11/01/2015,,POINT (-118.5234 34.2578)
0000888913-0003-9,"SOCORROS RESTAURANT, INC",,14853 SHERMAN WAY,VAN NUYS,91405-2254,14853 SHERMAN 91405-2254,,,,722110,Full-service restaurants,6,11/01/2015,,POINT (-118.4564 34.2014)
0000888983-0001-8,JACK IN THE BOX PROPERTIES,JACK IN THE BOX #280,10967 SANTA MONICA BLVD,LOS ANGELES,90025-4538,10967 SANTA MONICA 90025-4538,9357 SPECTRUM CENTER BLVD,SAN DIEGO,92123-1444,722110,Full-service restaurants,5,11/01/1970,,POINT (-118.4401 34.0489)
0000890611-0001-7,RAFMAR/SONS ENTERPRISES INC,EL POLLO LOCO #3409,1411 LINCOLN BLVD #A,VENICE,90291-3514,1411 LINCOLN 90291-3514,167 TAMARACK DRIVE,CORONA,92881-8201,722110,Full-service restaurants,11,06/18/1998,,POINT (-118.4608 33.9979)
0000891305-0001-4,SANG VAN HUYNH,CANOGA BILLIARDS,22025 SHERMAN WAY,CANOGA PARK,91303-1852,22025 SHERMAN 91303-1852,,,,722110,Full-service restaurants,3,08/01/1998,,POINT (-118.6064 34.201)
0000893294-0001-9,M H ITALIAN EXPRESS INC,ITALIAN EXPRESS,10845 LINDBROOK DRIVE,LOS ANGELES,90024-3042,10845 LINDBROOK 90024-3042,,,,722110,Full-service restaurants,5,07/01/1998,,POINT (-118.4425 34.0602)
0000893302-0001-5,SUSHI RAW RESTAURANT INC,SUSHI RAW RESTAURANT,16858 DEVONSHIRE STREET,GRANADA HILLS,91344-7404,16858 DEVONSHIRE 91344-7404,,,,722110,Full-service restaurants,12,08/15/2004,,POINT (-118.4992 34.2574)
0000893379-0001-2,MARLENE SINCLAIR-BECKFORD / DELROY BECKFORD,ACKEE BAMBOO JAMAICAN CUISINE,4305 DEGNAN BLVD #100,LOS ANGELES,90008-4949,4305 DEGNAN 90008-4949,3817 ARLINGTON AVENUE,LOS ANGELES,90008-1914,722110,Full-service restaurants,10,09/16/2004,,POINT (-118.3314 34.0058)
0000893405-0001-7,PRIMITIVO LOPEZ / MARTINA RODRIGUEZ LOPEZ,LA MEJOR BAKERY,11142 BURBANK BLVD #G,N HOLLYWOOD,91601-5756,11142 BURBANK 91601-5756,,,,722110,Full-service restaurants,2,07/15/1998,,POINT (-118.3739 34.1721)
0000893421-0001-6,H R D RESTAURANT INC,DENNY'S RESTAURANT,17018 DEVONSHIRE STREET,NORTHRIDGE,91325-1617,17018 DEVONSHIRE 91325-1617,,,,722110,Full-service restaurants,12,08/15/1998,,POINT (-118.5028 34.2575)
0000893722-0001-5,HANK HENG,UNION CHINESE FOOD,1275 S UNION AVENUE,LOS ANGELES,90015-2043,1275 UNION 90015-2043,,,,722110,Full-service restaurants,1,01/01/1992,,POINT (-118.2766 34.0451)
0000893733-0001-3,4600 SUNSET BLVD INC,CHEETAH | CHEETHAS,4600 HOLLYWOOD BLVD,LOS ANGELES,90027-5408,4600 HOLLYWOOD 90027-5408,4600 HOLLYWOOD BLVD,LOS ANGELES,90027-5408,722110,Full-service restaurants,13,01/01/1992,,POINT (-118.2892 34.0995)
0000895143-0001-2,CHUN YIN TUNG,,705 1/2 S WESTERN AVENUE,LOS ANGELES,90005-3288,705 WESTERN 90005-3288,,,,722110,Full-service restaurants,10,07/01/1998,,POINT (-118.309 34.0595)
0000895920-0001-7,VICTORY OUTREACH INC,,1230 VALENCIA STREET,LOS ANGELES,90015-2032,1230 VALENCIA 90015,333 W 22ND STREET,LOS ANGELES,90007-1433,722110,Full-service restaurants,1,12/01/1991,,POINT (-118.2748 34.0444)
0000896263-0001-5,TAKEE INTERNATIONAL INC,MANPUKU,2125 SAWTELLE BLVD,LOS ANGELES,90025-6249,2125 SAWTELLE 90025-6249,2050 W 190TH STREET UNIT #110,TORRANCE,90504-6259,722110,Full-service restaurants,0,08/31/1998,,
0000896263-0003-1,TAKEE INTERNATIONAL INC,,8486 W 3RD STREET,LOS ANGELES,90048-4112,8486 3RD 90048-4112,2050 W 190TH STREET SUITE #110,TORRANCE,90504-6259,722110,Full-service restaurants,5,12/09/2017,,POINT (-118.376 34.0731)
0000896573-0001-3,SUSANA GUARDADO,SUSANA RESTAURANT-EL GARROBO COMELON,5218 S VERMONT AVENUE,LOS ANGELES,90037-3528,5218 VERMONT 90037-3528,,,,722110,Full-service restaurants,9,09/28/1998,,POINT (-118.2915 33.9949)
0000896703-0001-4,NAI SIM LY,JOLLY DONUTS,7249 TOPANGA CANYON BLVD,CANOGA PARK,91303-1241,7249 TOPANGA CANYON 91303-1241,,,,722110,Full-service restaurants,3,03/16/1992,,POINT (-118.6059 34.2021)
0000897097-0001-5,NEW YORK FOOD CO INC,,2320 ALASKA AVENUE,EL SEGUNDO,90245-4807,2320 ALASKA 90245-4807,,,,722110,Full-service restaurants,0,01/19/1994,,POINT (-118.3825 33.9076)
0000897428-0001-7,MAMAS GRILL PIZZA & PASTA INC,,3311 MOTOR AVENUE,LOS ANGELES,90034-3711,3311 MOTOR 90034-3711,,,,722110,Full-service restaurants,5,07/01/2004,,POINT (-118.4105 34.029)
0000898208-0001-1,LA ADELITA FOOD COMPANY # 3 INC,LA ADELITA FOOD CO #3,1000 E WASHINGTON BLVD,LOS ANGELES,90021-3072,1000 WASHINGTON 90021-3072,,,,722110,Full-service restaurants,9,09/30/1998,,POINT (-118.2535 34.0258)
0000899638-0001-1,SANCHEZ FAMILY CORP,MCDONALDS #7037,1310 E OLYMPIC BLVD,LOS ANGELES,90021-1907,1310 OLYMPIC 90021-1907,4140 OCEANSIDE BLVD SUITE #159-170,OCEANSIDE,92056-6005,722110,Full-service restaurants,14,12/01/1991,,POINT (-118.244 34.0319)
0000900155-0001-7,SANG HUN LEE,KANG NAM RESTAURANT,4103 W OLYMPIC BLVD,LOS ANGELES,90019-1942,4103 OLYMPIC 90019-1942,,,,722110,Full-service restaurants,10,02/01/1984,,POINT (-118.3219 34.0542)
0000901644-0002-5,ORTELIA PEREZ,FRATELLI'S PIZZA PLACE,3557 W 3RD STREET,LOS ANGELES,90020-2012,3557 3rd 90020-2012,,,,722110,Full-service restaurants,10,01/03/2023,,POINT (-118.2931 34.0691)
0000902995-0001-1,MASTER BURGER INC,MASTER BURGER,4419 S WESTERN AVENUE,LOS ANGELES,90062-1606,4419 WESTERN 90062-1606,,,,722110,Full-service restaurants,8,10/06/1998,,POINT (-118.3089 34.0036)
0000902995-0003-8,MASTER BURGER INC,MASTER BURGERS #4,1001 S BROADWAY,LOS ANGELES,90015-4034,1001 BROADWAY 90015-4034,4419 S WESTERN AVENUE,LOS ANGELES,90062-1606,722110,Full-service restaurants,14,03/11/2018,,POINT (-118.2579 34.0408)
0000903460-0001-4,SALLY GUTIERREZ,NELIS DELI,2214 STONER AVENUE,LOS ANGELES,90064-1204,2214 STONER 90064-1204,,,,722110,Full-service restaurants,11,04/12/1984,,POINT (-118.4485 34.0333)
0000903501-0001-5,ZANKOU CHICKEN HOLLYWOOD INC,ZANKOU CHICKEN,5065 W SUNSET BLVD,LOS ANGELES,90027-5839,5065 SUNSET 90027-5839,,,,722110,Full-service restaurants,13,05/01/1984,,POINT (-118.2997 34.0981)
0000903574-0001-4,SENG LIV 168 INC,MAGGIE'S DONUT,2612 W 6TH STREET,LOS ANGELES,90057-3110,2612 6TH 90057-3110,,,,722110,Full-service restaurants,1,09/25/1998,,POINT (-118.2805 34.062)
0000903619-0001-3,JOSE LOPEZ/ALMA LOPEZ,LEONORS RESTAURANT #2,12445 MOORPARK STREET,STUDIO CITY,91604-1270,12445 MOORPARK 91604-1270,POST OFFICE BOX #26387,LOS ANGELES,90026-0387,722110,Full-service restaurants,4,07/01/1998,,POINT (-118.4042 34.1503)
0000904041-0001-6,E/S FAST FOOD INC,TACOS EL UNICO,6650 CRENSHAW BLVD,LOS ANGELES,90043-4155,6650 CRENSHAW 90043-4155,,,,722110,Full-service restaurants,8,08/21/1998,,POINT (-118.3308 33.9787)
0000905131-0001-8,CHARLES BONELLO/GIOVANNI BONELLO/MARCO BONELLO,BONELLO'S N.Y. PIZZA SAN PEDRO,806 S GAFFEY STREET,SAN PEDRO,90731-3613,806 GAFFEY 90731-3613,,,,722110,Full-service restaurants,15,05/09/1984,,POINT (-118.2921 33.7367)
0000905239-0001-2,T & M FINATIC ENTERPRISE INC,SHARKY'S FRESH MEXICAN GRILL,6219 TOPANGA CANYON BLVD,WOODLAND HILLS,91367-2213,6219 TOPANGA CANYON 91367-2213,26527 AGOURA ROAD #124,CALABASAS,91302-1991,722110,Full-service restaurants,3,09/20/1999,,POINT (-118.6059 34.1832)
0000905755-0001-2,GANGADIN RESTAURANT INC,,12067 VENTURA PLACE,STUDIO CITY,91604-2602,12067 VENTURA 91604-2602,5008 LAURELGROVE AVENUE,VALLEY VILLAGE,91607-3022,722110,Full-service restaurants,4,05/15/1984,,POINT (-118.3944 34.1444)
0000906024-0002-5,GUADALUPE NUNEZ BERMUDEZ,LIMON & SALT,2814 JAMES M WOOD BLVD,LOS ANGELES,90006-1702,2814 James M Wood 90006-1702,,,,722110,Full-service restaurants,1,08/08/2019,,POINT (-118.2896 34.0557)
0000906115-0001-6,GUCKENHEIMER ENTERPRISES INC,GUCKENHEIMER SERVICES LLC | VALLEY VIEW CAFE,15900 VALLEY VIEW COURT,SYLMAR,91342-3577,15900 VALLEY VIEW 91342-3577,1017 CENTRAL PARKWAYS N SUITE #100,SAN ANTONIO,78232-5009,722110,Full-service restaurants,7,04/01/1992,,POINT (-118.4784 34.3065)
0000906252-0001-5,A S MUZIBUR RAHMAN,BASKIN ROBBINS #6440,18100 CHATSWORTH STREET #A,GRANADA HILLS,91344-5648,18100 CHATSWORTH 91344-5648,,,,722110,Full-service restaurants,12,08/01/1989,,POINT (-118.5272 34.2645)
0000907763-0001-1,ZEYNEP CORPORATION,FIESTA FEAST,17336 W SUNSET BLVD,PACIFIC PALISADES,90272-4102,17336 SUNSET 90272-4102,,,,722110,Full-service restaurants,11,07/08/1998,,POINT (-118.5539 34.0407)
0000908293-0001-9,PIZZARITO INC,PIZZARITO,4371 GLENCOE AVENUE #B-7,MARINA DEL REY,90292-6400,4371 GLENCOE 90292-6400,,,,722110,Full-service restaurants,11,06/01/1984,,POINT (-118.438 33.9857)
0000908458-0001-3,CHONG CHOL/MICHELL KIM,7ELEVEN STORE #19598C,473 N WESTERN AVENUE,LOS ANGELES,90004-2609,473 WESTERN 90004-2609,POST OFFICE BOX #219088,DALLAS,75221-9088,722110,Full-service restaurants,13,04/26/1984,,POINT (-118.3091 34.0799)
0000908846-0001-3,SERGIO LUA,PEPE'S TACOS,4582 S CENTINELA AVENUE,LOS ANGELES,90066-6271,4582 CENTINELA 90066-6271,,,,722110,Full-service restaurants,11,01/02/1999,,POINT (-118.4215 33.9914)
0000908955-0001-1,NATHAN MURRAY,AVALON GRILL,11913 AVALON BLVD,LOS ANGELES,90061-2836,11913 AVALON 90061-2836,,,,722110,Full-service restaurants,15,05/01/1999,,POINT (-118.2651 33.9245)
0000909228-0001-3,DAISY TRACEY,,3810 S WESTERN AVENUE,LOS ANGELES,90062-1101,3810 WESTERN 90062-1101,,,,722110,Full-service restaurants,8,06/15/1984,,POINT (-118.3088 34.0173)
0000909651-0001-5,MANILA GOOD HA SA PANORAMA INC,,8205 WOODMAN AVENUE #101,PANORAMA CITY,91402-5440,8205 WOODMAN 91402-5440,,,,722110,Full-service restaurants,6,08/28/1998,,POINT (-118.4319 34.2196)
0000909775-0001-9,PATRICIA CYNTHIA LEAO,EL INDIO MEXICANO RESTAURANT,17019 ROSCOE BLVD,NORTHRIDGE,91325-4014,17019 ROSCOE 91325-4014,,,,722110,Full-service restaurants,12,10/01/1998,,POINT (-118.5043 34.2214)
0000910027-0001-3,VICTORIA NAVARRO,ALBERTAS MEXICAN FOOD,1304 W PACIFIC COAST HIGHWAY,WILMINGTON,90744-2430,1304 PACIFIC COAST 90744-2430,,,,722110,Full-service restaurants,15,04/01/1999,,
0000926415-0001-3,TACOS 2000 INC,TACO BELL 17131,7856 FOOTHILL BLVD,SUNLAND,91040-2960,7856 FOOTHILL 91040-2960,14431 VENTURA BLVD #263,SHERMAN OAKS,91423-2606,722110,Full-service restaurants,7,01/01/2000,,POINT (-118.3044 34.2596)
0000933134-0001-6,MASU CO. INC.,SUSHI MASU,1911 WESTWOOD BLVD,LOS ANGELES,90025-4613,1911 WESTWOOD 90025-4613,,,,722110,Full-service restaurants,5,01/18/1999,,POINT (-118.4353 34.0479)
0000933232-0001-5,SPORTSMAN FAMILY BILLIARDS INC,SPORTSMAN FAMILY BILLIARDS & RESTAURANT,3617 CRENSHAW BLVD,LOS ANGELES,90016-4819,3617 CRENSHAW 90016-4819,3441 S DUNSMUIR AVENUE,LOS ANGELES,90016-5116,722110,Full-service restaurants,10,08/28/1998,,POINT (-118.335 34.0233)
0000933755-0001-7,SANDRO CORPORATION,PACE,2100 LAUREL CANYON BLVD,LOS ANGELES,90046-2004,2100 LAUREL CANYON 90046-2004,,,,722110,Full-service restaurants,4,03/10/1999,,POINT (-118.3697 34.1088)
0000934936-0002-6,BUDNAMU USA INC,BUD NAMU BBQ HOUSE,809 S ARDMORE AVENUE,LOS ANGELES,90005-2411,809 ARDMORE 90005-2411,,,,722110,Full-service restaurants,10,12/10/2011,,POINT (-118.3019 34.0575)
0000935454-0002-1,P F CHANG'S CHINA BISTRO INC,PF CHANG'S CHINA BISTRO,21821 OXNARD STREET,WOODLAND HILLS,91367-3620,21821 OXNARD 91367-3620,8377 E HARTFORD DRIVE SUITE #200,SCOTTSDALE,85255-5687,722110,Full-service restaurants,3,07/17/2000,,POINT (-118.6032 34.1792)
0000935454-0003-9,P F CHANG'S CHINA BISTRO INC,,15301 VENTURA BLVD #P 22,SHERMAN OAKS,91403-3102,15301 VENTURA 91403-3102,8377 E HARTFORD DRIVE SUITE #200,SCOTTSDALE,85255-5687,722110,Full-service restaurants,4,01/25/2002,,POINT (-118.4656 34.1537)
0000936176-0001-1,TORNADO ENTERPRISE CORP,,800 S ALVARADO STREET,LOS ANGELES,90057-4010,800 ALVARADO 90057,,,,722110,Full-service restaurants,1,07/01/1998,,POINT (-118.2778 34.0548)
0000939437-0001-8,PC CALIFORNIA GRILL INC,SHANGHAI DIAMOND GARDEN RESTAURANT,9401 W PICO BLVD,LOS ANGELES,90035-1209,9401 PICO 90035-1209,,,,722110,Full-service restaurants,5,09/01/1997,,POINT (-118.3938 34.0552)
0000939582-0001-1,DONG YUN ZHAO,YANUSA,321 S WILTON PLACE,LOS ANGELES,90020-4591,321 WILTON 90020-4591,2211 CUMBERLAND ROAD,GLENDORA,91741-6402,722110,Full-service restaurants,13,10/28/1998,,POINT (-118.3144 34.0682)
0000939990-0001-9,HAMOON CORP,SUBWAY #423,17261 VENTURA BLVD,ENCINO,91316-4007,17261 VENTURA 91316-4007,,,,722110,Full-service restaurants,4,01/01/1999,,POINT (-118.509 34.1607)
0000940591-0001-1,SAE HYEONG INC,VIKING CLUB,2735 W TEMPLE STREET,LOS ANGELES,90026-4741,2735 TEMPLE 90026-4741,,,,722110,Full-service restaurants,13,10/21/1998,,POINT (-118.2766 34.0732)
0000942778-0001-7,3 HERMANOS MEXICAN FOODS INC,TAQUERIA & RESTAURANTE LOS TRES HERMANOS,9504 SEPULVEDA BLVD,NORTH HILLS,91343-3306,9504 SEPULVEDA 91343-3306,9504 SEPULVEDA BLVD,NORTH HILLS,91343-3306,722110,Full-service restaurants,7,12/01/1998,,POINT (-118.4673 34.2428)
0000943324-0001-5,SAKURA JAPANESE RESTAURANT INC,SAKURA JAPANESE RESTAURANT,4545 S CENTINELA AVENUE,LOS ANGELES,90066-6249,4545 CENTINELA 90066-6249,4545 S CENTINELA AVENUE,LOS ANGELES,90066-6249,722110,Full-service restaurants,11,01/01/1999,,POINT (-118.4222 33.992)
0000943443-0001-6,LARRY KIM LAM,THE JELLY DONUT,8111 VAN NUYS BLVD #101,PANORAMA CITY,91402-4800,8111 VAN NUYS 91402-4800,,,,722110,Full-service restaurants,6,02/19/1999,,POINT (-118.4487 34.2181)
0000943540-0006-1,CONCORDIA DEVELOPMENT INC,SUBWAY #57912,1000 S HOPE STREET #C,LOS ANGELES,90015-1491,1000 HOPE 90015-1491,6110 VARIEL AVENUE UNIT #2C,WOODLAND HILLS,91367-3721,722110,Full-service restaurants,14,01/01/2013,,POINT (-118.2616 34.0437)
0000943907-0001-1,ALISAL VENTURES LLC,IHOP WESTCHESTER,8600 S SEPULVEDA BLVD,LOS ANGELES,90045-4002,8600 SEPULVEDA 90045-4002,1445 5TH STREET,SANTA MONICA,90401-2401,722110,Full-service restaurants,11,03/08/2000,,POINT (-118.3961 33.9597)
0000943962-0001-0,JESUS MORENO,,4127 S BROADWAY,LOS ANGELES,90037-2220,4127 BROADWAY 90037,,,,722110,Full-service restaurants,9,01/01/1999,,POINT (-118.2783 34.0082)
0000943985-0001-1,LUPITA'S BAKERY INC,FIESTA MEXICANA FAMILY RESTAURANT,1834 W FLORENCE AVENUE,LOS ANGELES,90047-2123,1834 FLORENCE 90047-2123,1848 W FLORENCE AVENUE,LOS ANGELES,90047-2123,722110,Full-service restaurants,8,02/09/1999,,POINT (-118.31 33.9745)
0000944936-0001-4,LISA CHHOR,BIG JIMS DONUTS,2401 WHITTIER BLVD,LOS ANGELES,90023-1341,2401 WHITTIER 90023-1341,,,,722110,Full-service restaurants,14,01/01/1999,,POINT (-118.2156 34.0343)
0000945101-0001-2,DINING TRADITION INC,THAI DISHES,6234 W MANCHESTER AVENUE,LOS ANGELES,90045-3801,6234 MANCHESTER 90045-3801,,,,722110,Full-service restaurants,11,07/01/1999,,POINT (-118.3943 33.9598)
0000945563-0001-6,JUSTIN TY PE,PEKING WOK,17005 ROSCOE BLVD,NORTHRIDGE,91325-4014,17005 ROSCOE 91325-4014,,,,722110,Full-service restaurants,12,01/11/1999,,POINT (-118.5039 34.2214)
0000945732-0001-7,ROSALIA NAVARRETTE,BRONCO BURRITO RESTAURANT,19511 VENTURA BLVD,TARZANA,91356-2916,19511 VENTURA 91356-2916,,,,722110,Full-service restaurants,3,02/01/1999,,POINT (-118.558 34.1727)
0000946001-0001-1,JAIPUR CORP,JAIPUR INDIAN CUISINE,10916 W PICO BLVD,LOS ANGELES,90064-2112,10916 PICO 90064-2112,10916 W PICO BLVD,LOS ANGELES,90064-2112,722110,Full-service restaurants,5,04/01/1999,,POINT (-118.43 34.0394)
0000946855-0001-3,MARISCOS EL PARIENTE INC,,11125 S MAIN STREET,LOS ANGELES,90061-1925,11125 MAIN 90061-1925,,,,722110,Full-service restaurants,8,01/01/1999,,POINT (-118.2738 33.9341)
0000946875-0001-1,CAFE STELLA INC,LA PHARMACIE,3932 W SUNSET BLVD,LOS ANGELES,90029-2242,3932 SUNSET 90029-2242,,,,722110,Full-service restaurants,13,01/15/1999,,
0000947624-0001-9,STARBUCKS CORPORATION,STARBUCKS COFFEE #5643,17901 CHATSWORTH STREET,GRANADA HILLS,91344-5606,17901 CHATSWORTH 91344-5606,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,12,02/06/1999,,POINT (-118.5234 34.2649)
0000947625-0001-3,STARBUCKS CORPORATION,STARBUCKS COFFEE #5683,2556 GLENDALE BLVD,LOS ANGELES,90039-3220,2556 GLENDALE 90039-3220,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,13,02/27/1999,,POINT (-118.2591 34.104)
0000948065-0001-6,MUIZ FOODS INC,KFC MISSION HILLS,10865 SEPULVEDA BLVD,MISSION HILLS,91345-1424,10865 SEPULVEDA 91345-1424,,,,722110,Full-service restaurants,7,01/01/1999,,POINT (-118.4673 34.2677)
0000949892-0001-6,"OCB RESTAURANT COMPANY, LLC",HOMETOWN BUFFET,7868 VAN NUYS BLVD,VAN NUYS,91402-6069,7868 VAN NUYS 91402-6069,2338 N LOOP 1604 W SUITE #350,SAN ANTONIO,78248-4544,722110,Full-service restaurants,6,01/14/1999,,POINT (-118.4487 34.214)
0000950667-0001-2,SANCHEZ GROUP ENTERPRISES INC.,TAQUERIA SANCHEZ,4541 S CENTINELA AVENUE,LOS ANGELES,90066-6249,4541 CENTINELA 90066-6249,4525 INGLEWOOD BLVD,CULVER CITY,90230-5858,722110,Full-service restaurants,11,04/01/1999,,POINT (-118.4223 33.9921)
0000951177-0002-1,TAMBIEN INC,MCDONALD'S,850 W ROSECRANS AVENUE,GARDENA,90247-2757,850 Rosecrans 90247-2757,2202 S FIGUEROA STREET,LOS ANGELES,90007-2049,722110,Full-service restaurants,15,09/01/2023,,POINT (-118.2911 33.9015)
0000951274-0001-7,REYNALDO DE LA ROSA,REY'S ICE CREAM,15115 ROXFORD STREET   UNIT #112,SYLMAR,91342-8373,15115 ROXFORD 91342-8373,,,,722110,Full-service restaurants,7,02/27/2001,,POINT (-118.4633 34.3196)
0000953179-0001-6,SALIM A/NOURA A SKAF,SKAF'S GRILL,6008 LAUREL CANYON BLVD,N HOLLYWOOD,91606-4657,6008 LAUREL CANYON 91606-4657,,,,722110,Full-service restaurants,2,06/15/1999,,POINT (-118.3965 34.1796)
0000954423-0003-9,MARILYN A COLE,CHEF MARILYN'S QUEEN OF DOWN HOME SOUTHERN GOODIES,2638 CRENSHAW BLVD,LOS ANGELES,90016-3006,2638 CRENSHAW 90016-3006,,,,722110,Full-service restaurants,10,02/13/2014,,POINT (-118.335 34.0317)
0000954423-0004-7,MARILYN A COLE,CHEF MARILYN'S BREAKFAST SPOT,3710 W MARTIN LUTHER KING JR BLVD #121,LOS ANGELES,90008-1761,3710 Martin Luther King Jr 90008-1761,4150 HILLCREST DRIVE,LOS ANGELES,90008-4321,722110,Full-service restaurants,10,10/01/2023,,POINT (-118.3386 34.0123)
0000954448-0003-9,ALBERT LOUSINIAN,SECRET RESTAURANT,6541 HOLLYWOOD BLVD   SUITE #104/105,LOS ANGELES,90028-6256,6541 HOLLYWOOD 90028-6256,,,,722110,Full-service restaurants,13,01/01/2016,,POINT (-118.3325 34.102)
0000956432-0002-4,ABELINA GARCIA,MI FLOR BLANCA RESTAURANT,2306 1/2 S UNION AVENUE,LOS ANGELES,90007-3085,2306 UNION 90007-3085,,,,722110,Full-service restaurants,1,09/07/2009,,POINT (-118.2834 34.0348)
0000957050-0001-9,KAYA RESTAURANT INC,KAYA SUSHI RESTAURANT,13400 WASHINGTON BLVD #102,MARINA DEL REY,90292-5632,13400 WASHINGTON 90292-5632,,,,722110,Full-service restaurants,0,04/01/1999,,POINT (-118.4447 33.9919)
0000957212-0032-0,INTERNATIONAL COFFEE & TEA LLC,COFFEE BEAN & TEA LEAF #134,9541 W PICO BLVD,LOS ANGELES,90035-1201,9541 PICO 90035-1201,550 S HOPE STREET SUITE #2100,LOS ANGELES,90071-2625,722110,Full-service restaurants,5,03/11/2004,,POINT (-118.3965 34.0552)
0000957670-0001-5,P R PERNECKY MANAGEMENT CORP,MCDONALD'S,4947 HUNTINGTON DRIVE N,LOS ANGELES,90032-1643,4947 HUNTINGTON 90032-1643,100 CORSON STREET SUITE #230,PASADENA,91103-3800,722110,Full-service restaurants,14,03/01/1999,,POINT (-118.1752 34.0875)
0000957670-0002-3,P R PERNECKY MANAGEMENT CORP,MCDONALD'S,5008 N FIGUEROA STREET,LOS ANGELES,90042-3920,5008 FIGUEROA 90042-3920,100 CORSON STREET SUITE #230,PASADENA,91103-3800,722110,Full-service restaurants,1,02/25/2008,,POINT (-118.202 34.105)
0000959614-0001-6,ZENASHE BAYOU,RANCH SIDE CAFE,11355 FOOTHILL BLVD #A,LAKE VIEW TERRACE,91342-6770,11355 FOOTHILL 91342-6770,,,,722110,Full-service restaurants,7,06/01/1999,,POINT (-118.3818 34.2742)
